特	
よ	
う	
、	
右	
肩	
上	
が	
り	
の	
イ	
ン	
フ	
レ	
体	
制	
で	
や	EVENT eid="e192" class="OCCURRENCE"
っ	
て	
き	
た	
。	
と	
こ	
ろ	
が	
、	
日	
本	
だ	
け	
が	
デ	
フ	
レ	
の	
罠	
に	
は	EVENT eid="e193" class="OCCURRENCE"
ま	
り	
、	
資	
産	
デ	
フ	
レ	
か	
ら	
抜	EVENT eid="e194" class="OCCURRENCE"
け	
出	
せ	
ず	
に	
い	EVENT eid="e195" class="I_ACTION"
る	
。	
８	TIMEX3 mod="ON_OR_AFTER" definite="FALSE" valueFromSurface="XX8X" tid="t13" type="DATE" value="198X"
０	
年	
代	
以	
降	
の	
「	
構	
造	
改	
革	
」	
は	
統	
制	
型	
か	
ら	
市	
場	
型	
へ	
移	EVENT eid="e196" class="OCCURRENCE"
行	
し	
、	
民	
間	
主	
導	
経	
済	
を	
構	EVENT eid="e197" class="OCCURRENCE"
築	
す	
る	
こ	
と	
だ	
。	
不	
良	
債	
権	
処	
理	
も	
民	
間	
主	
導	
で	
で	EVENT eid="e198" class="I_STATE"
き	
る	
か	
。	
歴	
史	
を	
振	EVENT eid="e199" class="OCCURRENCE"
り	
返	
れ	
ば	
、	
こ	
れ	
は	
ま	
っ	
た	
く	
ナ	EVENT eid="e200" class="NULL"
ン	
セ	
ン	
ス	
な	
話	
で	
す	
。	
今	TIMEX3 definite="TRUE" valueFromSurface="PRESENT_REF" tid="t14" type="DATE" value="PRESENT_REF"
の	
不	
良	
債	
権	
は	
市	
場	
と	
政	
府	
の	
失	
敗	
で	
累	EVENT eid="e201" class="I_ACTION"
積	
し	
て	
き	
た	
も	
の	
で	
、	
そ	
れ	
を	
民	
間	
ま	
か	
せ	
に	
す	EVENT eid="e202" class="I_ACTION"
る	
と	
い	
う	
の	
は	
問	
題	
の	
先	
送	
り	
で	
し	
か	
な	
い	
。	
　	
が	
ん	
の	
患	
者	
さ	
ん	
に	
「	
自	
分	
で	
メ	
ス	
を	
握	EVENT eid="e203" class="OCCURRENCE"
っ	
て	
自	
分	
の	
腹	
を	
切	EVENT eid="e204" class="OCCURRENCE"
れ	
」	
と	
言	EVENT eid="e205" class="REPORTING"
っ	
て	
も	
誰	
も	
や	EVENT eid="e206" class="OCCURRENCE"
り	
ま	
せ	
ん	
。	
だ	
か	
ら	
こ	
そ	
民	
間	
の	
良	
識	
と	
知	
性	
を	
注	EVENT eid="e207" class="OCCURRENCE"
入	
し	
、	
強	
権	
発	
動	
も	
で	EVENT eid="e208" class="I_STATE"
き	
る	
「	
産	
業	
再	
生	
委	
員	
会	
」	
の	
創	
設	
が	
肝	EVENT eid="e209" class="NULL"
要	
な	
の	
で	
す	
。	
　	
総	
理	
に	
は	
、	
ハ	
ン	
セ	
ン	
病	
訴	
訟	
の	
控	
訴	
断	
念	
で	
見	EVENT eid="e210" class="OCCURRENCE"
せ	
た	
あ	
の	
決	
断	
力	
を	
、	
ぜ	
ひ	
経	
済	
運	
営	
に	
お	
い	
て	
も	
発	EVENT eid="e211" class="OCCURRENCE"
揮	
し	
て	
い	
た	
だ	
き	
た	
い	
と	
思	EVENT eid="e212" class="I_STATE"
う	
。	
　	
わ	
た	
な	
べ	
・	
よ	
し	
み	
　	
１	TIMEX3 definite="FALSE" valueFromSurface="1952" tid="t15" type="DATE" value="1952"
９	
５	
２	
年	
栃	
木	
県	
生	
ま	
れ	
。	
早	
稲	
田	
大	
政	
経	
学	
部	
、	
中	
央	
大	
法	
学	
部	
卒	
。	
外	
相	
秘	
書	
官	
な	
ど	
を	
経	EVENT eid="e213" class="OCCURRENCE"
て	
９	TIMEX3 definite="FALSE" valueFromSurface="XX96" tid="t16" type="DATE" value="1996"
６	
年	
衆	
院	
総	
選	
挙	
で	
初	
当	
選	
。	
企	
画	
立	
案	
・	
実	
現	
型	
の	
政	
治	
家	
を	
目	EVENT eid="e214" class="OCCURRENCE"
指	
し	
、	
特	
定	
調	
停	
法	
、	
定	
期	
借	
家	
権	
法	
な	
ど	
を	
提	EVENT eid="e215" class="OCCURRENCE"
出	
し	
た	
。	
「	
日	
本	
の	
明	
日	
を	
創	EVENT eid="e216" class="OCCURRENCE"
る	
会	
」	
メ	
ン	
バ	
ー	
。	
＝	
高	
橋	
健	
伸	
写	EVENT eid="e217" class="OCCURRENCE"
す	
●	
「	
よ	
そ	
行	
き	
」	
と	
「	
普	
段	
着	
」	
と	
　	
自	
分	
の	
言	
葉	
で	
ビ	
ジ	
ョ	
ン	
を	
語	EVENT eid="e218" class="OCCURRENCE"
る	
若	
手	
政	
治	
家	
が	
増	EVENT eid="e219" class="OCCURRENCE"
え	
て	
き	
た	
。	
略	
称	
ミ	
ッ	
チ	
ー	
で	
親	EVENT eid="e220" class="OCCURRENCE"
し	
ま	
れ	
た	
故	
渡	
辺	
美	
智	
雄	
元	
外	
相	
の	
長	
男	
で	
あ	
る	
喜	
美	
氏	
も	
そ	
の	
一	
人	
だ	
。	
同	
氏	
の	
近	
著	
「	
日	
本	
は	
ま	
だ	
ま	
だ	
捨	EVENT eid="e221" class="NULL"
て	
た	
も	
の	
じ	
ゃ	
な	
い	
」	
（	
徳	
間	
書	
店	
）	
は	
、	
永	
田	
町	
秘	
話	
か	
ら	
日	
本	
経	
済	
再	
生	
プ	
ラ	
ン	
ま	
で	
を	
網	EVENT eid="e222" class="OCCURRENCE"
羅	
し	
た	
盛	EVENT eid="e223" class="NULL"
り	
だ	
く	
さ	
ん	
の	
“	
政	
治	
家	
本	
”	
だ	
。	
官	
民	
の	
政	
策	
エ	
コ	
ノ	
ミ	
ス	
ト	
の	
有	
志	
グ	
ル	
ー	
プ	
「	
平	
成	
金	
融	
問	
題	
研	
究	
会	
」	
と	
組	EVENT eid="e224" class="OCCURRENCE"
ん	
だ	
前	
著	
「	
反	
資	
産	
デ	
フ	
レ	
の	
政	
治	
経	
済	
学	
」	
（	
東	
洋	
経	
済	
新	
報	
社	
）	
が	
“	
よ	
そ	
行	
き	
”	
の	
本	
格	
的	
提	
言	
集	
な	
ら	
、	
近	
著	
は	
“	
普	
段	
着	
”	
の	
ま	
ま	
の	
わ	EVENT eid="e225" class="NULL"
か	
り	
や	
す	
い	
本	
だ	
。	
あ	
と	
が	
き	
で	
同	
氏	
は	
「	
前	
著	
が	
読	EVENT eid="e226" class="OCCURRENCE"
む	
と	
眠	EVENT eid="e227" class="NULL"
く	
な	EVENT eid="e228" class="OCCURRENCE"
る	
、	
と	
い	
う	
批	
判	
に	
答	EVENT eid="e229" class="I_ACTION"
え	
、	
本	
書	
は	
眠	EVENT eid="e230" class="NULL"
く	
な	EVENT eid="e231" class="OCCURRENCE"
る	
前	
に	
読	EVENT eid="e232" class="OCCURRENCE"
み	
終	
わ	
る	
本	
に	
し	EVENT eid="e233" class="OCCURRENCE"
た	
」	
と	
記	EVENT eid="e234" class="REPORTING"
す	
。	
庶	
民	
派	
政	
治	
家	
を	
目	EVENT eid="e235" class="OCCURRENCE"
指	
す	
同	EVENT eid="e236" class="NULL"
氏	
ら	
し	
い	
言	
葉	
だ	
。	
混	
迷	
を	
深	EVENT eid="e237" class="OCCURRENCE"
め	
る	
日	
本	
経	
済	
の	
再	
生	
プ	
ラ	
ン	
に	
つ	
い	
て	
は	
「	
学	
者	
や	
エ	
コ	
ノ	
ミ	
ス	
ト	
の	
数	
だ	
け	
無	EVENT eid="e238" class="NULL"
数	
に	
あ	EVENT eid="e239" class="STATE"
る	
」	
と	
も	
い	EVENT eid="e240" class="REPORTING"
わ	
れ	
る	
。	
し	
か	
し	
、	
肝	EVENT eid="e241" class="NULL"
心	
の	
政	
治	
家	
に	
よ	
る	
著	
作	
は	
多	
く	
は	
な	EVENT eid="e242" class="NULL"
い	
。	
テ	
レ	
ビ	
の	
討	
論	
番	
組	
に	
出	EVENT eid="e243" class="OCCURRENCE"
て	
生	
煮	
え	
で	
細	
切	
れ	
の	
発	
言	
を	
す	EVENT eid="e244" class="I_ACTION"
る	
く	
ら	
い	
な	
ら	
、	
政	
策	
本	
を	
出	EVENT eid="e245" class="OCCURRENCE"
し	
て	
広	EVENT eid="e246" class="NULL"
く	
世	
に	
問	EVENT eid="e247" class="OCCURRENCE"
う	
て	
ほ	
し	
い	
。	
